1,0000,0.2179,0.221,0.3728,0.9792,12,0.6735
1,0003,0.5249,0.3179,0.6328,0.8961,14,0.5757
1,0003,0.2241,0.2422,0.386,0.9561,14,0.4142
1,0004,0.527,0.3187,0.6369,0.8809,14,0.705
1,0004,0.2217,0.2374,0.3867,0.957,14,0.5022
1,0005,0.5287,0.3111,0.6441,0.8527,14,0.5088
1,0005,0.2243,0.2428,0.3915,0.9495,14,0.4044
1,0006,0.5279,0.3151,0.6463,0.8805,14,0.459
1,0006,0.223,0.2422,0.3835,0.9491,14,0.4419
1,0007,0.528,0.2986,0.6486,0.8701,14,0.5072
1,0009,0.2135,0.2493,0.3887,0.9463,14,0.5432
1,0010,0.218,0.2398,0.3919,0.9355,14,0.4603
1,0014,0.2097,0.2618,0.3875,0.9137,14,0.4285
1,0029,0.2574,0.3341,0.395,0.8922,80,0.4208
1,0030,0.2592,0.3359,0.3996,0.8912,80,0.4228
1,0031,0.2478,0.336,0.4019,0.8954,80,0.5103
1,0031,0.5618,0.3437,0.7064,0.9053,80,0.4074
1,0032,0.2499,0.3329,0.4012,0.8988,80,0.4327
1,0033,0.5652,0.3444,0.7106,0.8923,80,0.4272
1,0033,0.2544,0.3324,0.3928,0.896,80,0.4267
1,0034,0.2542,0.3303,0.398,0.8924,80,0.4602
1,0035,0.2576,0.3336,0.4015,0.8999,80,0.4771
1,0036,0.2453,0.3289,0.4002,0.8997,80,0.5219
1,0041,0.265,0.3033,0.4127,0.8923,80,0.4665
1,0046,0.2857,0.2753,0.4148,0.9085,80,0.4047
1,0049,0.2801,0.2731,0.4247,0.9033,80,0.4389
1,0050,0.2661,0.2595,0.4096,0.9159,80,0.4671
1,0051,0.2677,0.2559,0.4084,0.9098,80,0.4907
1,0054,0.2733,0.266,0.4292,0.907,80,0.4046
1,0055,0.2582,0.2607,0.4096,0.9228,80,0.4053
1,0056,0.2519,0.263,0.4054,0.9211,80,0.4345
1,0069,0.437,0.1446,0.5808,0.9522,80,0.4146
1,0076,0.2611,0.2316,0.4124,0.9698,80,0.4129
1,0079,0.2534,0.2734,0.3823,0.9704,80,0.4287
1,0080,0.2517,0.316,0.3816,0.9594,80,0.4386
1,0081,0.2499,0.3333,0.389,0.9634,80,0.4404
1,0086,0.244,0.2966,0.394,0.9493,80,0.4198
1,0089,0.4219,0.1651,0.5948,0.9488,80,0.402
1,0090,0.2469,0.2873,0.3817,0.9461,80,0.5197
1,0090,0.5606,0.2621,0.6967,0.9186,80,0.4086
1,0091,0.249,0.2452,0.389,0.9451,80,0.6934
1,0092,0.2417,0.2432,0.3824,0.9492,80,0.5825
1,0093,0.2471,0.2511,0.3788,0.9417,80,0.5411
1,0094,0.2463,0.2461,0.3779,0.9362,80,0.4736
1,0095,0.2609,0.2683,0.3843,0.9336,80,0.5106
1,0096,0.2486,0.2527,0.3871,0.9403,80,0.7319
1,0096,0.3591,0.3234,0.4716,0.9034,12,0.4493
1,0096,0.3591,0.3234,0.4716,0.9034,80,0.4343
1,0097,0.2453,0.2622,0.3817,0.9317,80,0.5345
